name,code,bank,product_type,sale_type,fund_type,issuer,risk_level,status,net_value,currency,min_amount,investor_scope,fee_standard,fee_method,notice_url,filing_number,fetch_time,source
招银理财颐养丰润六个月封闭2号增强型固定收益类理财计划,100062A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0169,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.15%销售服务费：0.1%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131872,Playwright
招银理财颐养丰润六个月封闭3号增强型固定收益类理财计划,100063A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0182,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.15%销售服务费：0.15%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131883,Playwright
招银理财招睿颐养丰润七月封闭1号增强型固定收益类理财计划,100071A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0224,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.15%销售服务费：0.15%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131887,Playwright
招银理财颐养丰润七个月封闭4号增强型固定收益类理财计划,100074A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.008,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.15%销售服务费：0.15%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131889,Playwright
招银理财颐养丰润进取十八月封闭1号增强型固收类理财计划,100081,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.0118,人民币,100.0,遵循风险匹配原则,认购费：无申购费：不收取赎回费：不收取固定管理费：0.3%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131891,Playwright
招银理财颐养丰润进取十八月封闭2号增强型固收类理财计划,100082,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.0218,人民币,100.0,遵循风险匹配原则,认购费：无申购费：不收取赎回费：不收取固定管理费：0.3%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131894,Playwright
招银理财颐养丰润九个月封闭1号增强型固定收益类理财计划,100091A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0159,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.15%销售服务费：0.12%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131895,Playwright
招银理财颐养丰润九个月封闭2号增强型固定收益类理财计划,100092A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0159,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.15%销售服务费：0.15%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131897,Playwright
招银理财颐养丰润九个月封闭5号增强型固定收益类理财计划,100095A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0305,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：投资者在封闭期内不得申购理财计划赎回费：无固定管理费：0.3%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131900,Playwright
招银理财招睿颐养两年定开1号增强型固定收益类理财计划,100101,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.072,人民币,100.0,遵循风险匹配原则,申购费：不收取赎回费：不收取固定管理费：0.1%销售服务费：0.3%,申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131901,Playwright
招银理财颐养丰润十八月封闭10号增强型固定收益类理财计划,100102A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.012,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：投资者在封闭期内不得申购理财计划赎回费：无固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131903,Playwright
招银理财颐养丰润十八月封闭11号增强型固定收益类理财计划,100103A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0095,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：投资者在封闭期内不得申购理财计划赎回费：无固定管理费：0.2%销售服务费：0.25%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131905,Playwright
招银理财招睿颐养丰润两年定开1号增强型固定收益类理财计划,100111,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.0786,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.3%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131907,Playwright
招银理财招睿颐养丰润两年定开2号增强型固定收益类理财计划,100112,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.036,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.3%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131908,Playwright
招银理财招睿颐养丰润两年定开3号增强型固定收益类理财计划,100113,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.0275,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.3%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131910,Playwright
招银理财招睿颐养丰润两年定开4号增强型固定收益类理财计划,100114,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.0398,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.3%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131912,Playwright
招银理财招睿颐养丰润两年定开5号增强型固定收益类理财计划,100115A,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.0303,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.3%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131913,Playwright
招银理财招睿颐养丰润两年定开6号固定收益类理财计划,100116A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0411,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：不收取赎回费：不收取固定管理费：0.25%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:40:32.131915,Playwright
