name,code,bank,product_type,sale_type,fund_type,issuer,risk_level,status,net_value,currency,min_amount,investor_scope,fee_standard,fee_method,notice_url,filing_number,fetch_time,source
招银理财颐养丰润六个月封闭2号增强型固定收益类理财计划,100062A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0169,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.15%销售服务费：0.1%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:33:05.292156,Playwright
招银理财颐养丰润六个月封闭3号增强型固定收益类理财计划,100063A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0182,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.15%销售服务费：0.15%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:33:05.292169,Playwright
招银理财招睿颐养丰润七月封闭1号增强型固定收益类理财计划,100071A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0224,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.15%销售服务费：0.15%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:33:05.292173,Playwright
招银理财颐养丰润七个月封闭4号增强型固定收益类理财计划,100074A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.008,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.15%销售服务费：0.15%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:33:05.292176,Playwright
招银理财颐养丰润进取十八月封闭1号增强型固收类理财计划,100081,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.0118,人民币,100.0,遵循风险匹配原则,认购费：无申购费：不收取赎回费：不收取固定管理费：0.3%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:33:05.292178,Playwright
招银理财颐养丰润进取十八月封闭2号增强型固收类理财计划,100082,招商银行,代销理财,代销,公募,招银理财,R3,未开放,1.0218,人民币,100.0,遵循风险匹配原则,认购费：无申购费：不收取赎回费：不收取固定管理费：0.3%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:33:05.292180,Playwright
招银理财颐养丰润九个月封闭1号增强型固定收益类理财计划,100091A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0159,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.15%销售服务费：0.12%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:33:05.292183,Playwright
招银理财颐养丰润九个月封闭2号增强型固定收益类理财计划,100092A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0159,人民币,100.0,遵循风险匹配原则,认购费：不收取固定管理费：0.15%销售服务费：0.15%,认购费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:33:05.292184,Playwright
招银理财颐养丰润九个月封闭5号增强型固定收益类理财计划,100095A,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.0305,人民币,100.0,遵循风险匹配原则,认购费：不收取申购费：投资者在封闭期内不得申购理财计划赎回费：无固定管理费：0.3%销售服务费：0.3%,认购费申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:33:05.292186,Playwright
招银理财招睿颐养两年定开1号增强型固定收益类理财计划,100101,招商银行,代销理财,代销,公募,招银理财,R2,未开放,1.072,人民币,100.0,遵循风险匹配原则,申购费：不收取赎回费：不收取固定管理费：0.1%销售服务费：0.3%,申购费赎回费固定管理费销售服务费其他费用详见产品公告,点击查看,,2026-03-12T15:33:05.292188,Playwright
